timestamp,pod,container,memory_bytes,phase
2026-08-05T21:16:11Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysql,13352427520,baseline
2026-08-05T21:16:11Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysqld-exporter,15818752,baseline
2026-08-05T21:16:11Z,compare-am-gp-n3-4-16-i-adv-mysql-0,slow-log-tailer,6860800,baseline
2026-08-05T21:16:11Z,compare-am-gp-n3-4-16-i-adv-mysql-0,do-agent,-1,baseline
2026-08-05T21:16:11Z,compare-am-gp-n3-4-16-i-adv-mysql-0,xtrabackup,18771968,baseline
2026-08-05T21:16:11Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysql,11621425152,baseline
2026-08-05T21:16:11Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysqld-exporter,15892480,baseline
2026-08-05T21:16:11Z,compare-am-gp-n3-4-16-i-adv-mysql-1,slow-log-tailer,6639616,baseline
2026-08-05T21:16:11Z,compare-am-gp-n3-4-16-i-adv-mysql-1,do-agent,-1,baseline
2026-08-05T21:16:11Z,compare-am-gp-n3-4-16-i-adv-mysql-1,xtrabackup,1103130624,baseline
2026-08-05T21:16:11Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysql,13166284800,baseline
2026-08-05T21:16:11Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysqld-exporter,15400960,baseline
2026-08-05T21:16:11Z,compare-am-gp-n3-4-16-i-adv-mysql-2,slow-log-tailer,1839104,baseline
2026-08-05T21:16:11Z,compare-am-gp-n3-4-16-i-adv-mysql-2,do-agent,-1,baseline
2026-08-05T21:16:11Z,compare-am-gp-n3-4-16-i-adv-mysql-2,xtrabackup,24375296,baseline
2026-08-05T21:16:44Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysql,13354729472,baseline
2026-08-05T21:16:44Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysqld-exporter,15724544,baseline
2026-08-05T21:16:44Z,compare-am-gp-n3-4-16-i-adv-mysql-0,slow-log-tailer,6684672,baseline
2026-08-05T21:16:44Z,compare-am-gp-n3-4-16-i-adv-mysql-0,do-agent,-1,baseline
2026-08-05T21:16:44Z,compare-am-gp-n3-4-16-i-adv-mysql-0,xtrabackup,18743296,baseline
2026-08-05T21:16:44Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysql,11753226240,baseline
2026-08-05T21:16:44Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysqld-exporter,16039936,baseline
2026-08-05T21:16:44Z,compare-am-gp-n3-4-16-i-adv-mysql-1,slow-log-tailer,6524928,baseline
2026-08-05T21:16:44Z,compare-am-gp-n3-4-16-i-adv-mysql-1,do-agent,-1,baseline
2026-08-05T21:16:44Z,compare-am-gp-n3-4-16-i-adv-mysql-1,xtrabackup,1103659008,baseline
2026-08-05T21:16:44Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysql,13165887488,baseline
2026-08-05T21:16:44Z,compare-am-gp-n3-4-16-i-adv-mysql-2,mysqld-exporter,15503360,baseline
2026-08-05T21:16:44Z,compare-am-gp-n3-4-16-i-adv-mysql-2,slow-log-tailer,1982464,baseline
2026-08-05T21:16:44Z,compare-am-gp-n3-4-16-i-adv-mysql-2,do-agent,-1,baseline
2026-08-05T21:16:44Z,compare-am-gp-n3-4-16-i-adv-mysql-2,xtrabackup,24428544,baseline
2026-08-05T21:17:16Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysql,13337563136,baseline
2026-08-05T21:17:16Z,compare-am-gp-n3-4-16-i-adv-mysql-0,mysqld-exporter,15925248,baseline
2026-08-05T21:17:16Z,compare-am-gp-n3-4-16-i-adv-mysql-0,slow-log-tailer,6598656,baseline
2026-08-05T21:17:16Z,compare-am-gp-n3-4-16-i-adv-mysql-0,do-agent,-1,baseline
2026-08-05T21:17:16Z,compare-am-gp-n3-4-16-i-adv-mysql-0,xtrabackup,18911232,baseline
2026-08-05T21:17:16Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysql,11622518784,baseline
2026-08-05T21:17:16Z,compare-am-gp-n3-4-16-i-adv-mysql-1,mysqld-exporter,15405056,baseline
2026-08-05T21:17:16Z,compare-am-gp-n3-4-16-i-adv-mysql-1,slow-log-tailer,6598656,baseline
2026-08-05T21:17:16Z,compare-am-gp-n3-4-16-i-adv-mysql-1,do-agent,-1,baseline
2026-08-05T21:17:16Z,compare-am-gp-n3-4-16-i-adv-mysql-1,xtrabackup,1104678912,baseline
